question;answer
What is the fixed component of an electricity tariff?;The fixed component is a constant monthly tariff component per consumption point that does not depend on the amount of electricity transmitted or on actual electricity use.
What is a single time zone electricity tariff?;A single time zone tariff is a tariff where the energy component price per kilowatt-hour remains the same throughout the entire day and night.
What is a two time zone electricity tariff?;A two time zone tariff includes a daytime energy price and a night weekend and public holiday energy price.
What is a four time zone electricity tariff?;A four time zone tariff includes separate energy prices for night morning daytime and evening periods.
What is a time differentiated electricity tariff?;A time differentiated tariff includes energy prices that vary according to time intervals reflecting minimum average and maximum system load as well as weekends and public holidays.
What is a single time zone electricity tariff?;A single time zone tariff is an electricity distribution tariff where the energy price per kilowatt-hour remains the same throughout the entire day and night regardless of the time of use.
What is a two time zone electricity tariff?;A two time zone tariff applies different electricity prices for daytime hours and for night weekends and public holidays allowing consumers to save by shifting usage to cheaper periods.
What is a four time zone electricity tariff?;A four time zone tariff applies different electricity prices for night morning daytime and evening periods reflecting typical electricity demand patterns during the day.
What is the ESO Standard tariff plan?;The ESO Standard tariff plan is a basic electricity distribution plan intended for typical household consumption without power or fixed monthly capacity charges.
What is the ESO Efficient tariff plan?;The ESO Efficient tariff plan includes a power capacity component and lower energy prices making it suitable for households with higher electricity consumption.
What is the ESO Home tariff plan?;The ESO Home tariff plan includes a fixed monthly fee and is intended for households with stable consumption patterns and larger electricity use.
What is an electricity capacity charge?;An electricity capacity charge is a monthly payment based on the allowed power capacity in kilowatts and is paid regardless of the amount of electricity consumed.
What is a fixed electricity tariff component?;A fixed tariff component is a constant monthly fee per consumption point that does not depend on actual electricity usage.
What is the price of the Standard single time zone electricity distribution tariff?;For the Standard single time zone tariff the energy component price is 0.092 €/kWh and there is no fixed monthly fee and no capacity charge. The price is shown without VAT.
What is the price of the Efficient single time zone electricity distribution tariff?;For the Efficient single time zone tariff the energy component price is 0.073 €/kWh and there is a capacity charge of 0.8264 €/kW per month. There is no separate fixed monthly fee. Prices are shown without VAT.
What is the price of the Home single time zone electricity distribution tariff?;For the Home single time zone tariff the energy component price is 0.079 €/kWh and there is a fixed monthly fee of 2.4793 € per consumption point. There is no capacity charge. Prices are shown without VAT.
What are the prices of the Standard two time zone electricity distribution tariff?;For the Standard two time zone tariff the daytime energy price is 0.107 €/kWh and the night weekend and public holiday energy price is 0.059 €/kWh. There is no fixed monthly fee and no capacity charge. Prices are shown without VAT.
What are the prices of the Efficient two time zone electricity distribution tariff?;For the Efficient two time zone tariff the daytime energy price is 0.084 €/kWh and the night weekend and public holiday energy price is 0.047 €/kWh. In addition there is a capacity charge of 0.8264 €/kW per month. There is no separate fixed monthly fee. Prices are shown without VAT.
What are the prices of the Home two time zone electricity distribution tariff?;For the Home two time zone tariff the daytime energy price is 0.091 €/kWh and the night weekend and public holiday energy price is 0.051 €/kWh. There is a fixed monthly fee of 2.4793 € per consumption point and no capacity charge. Prices are shown without VAT.
What are the prices of the Standard four time zone electricity distribution tariff?;For the Standard four time zone tariff the night energy price is 0.052 €/kWh the morning energy price is 0.069 €/kWh the daytime energy price is 0.086 €/kWh and the evening energy price is 0.121 €/kWh. There is no fixed monthly fee and no capacity charge. Prices are shown without VAT.
What are the prices of the Efficient four time zone electricity distribution tariff?;For the Efficient four time zone tariff the night energy price is 0.042 €/kWh the morning energy price is 0.054 €/kWh the daytime energy price is 0.068 €/kWh and the evening energy price is 0.094 €/kWh. In addition there is a capacity charge of 0.8264 €/kW per month. There is no separate fixed monthly fee. Prices are shown without VAT.
Are the electricity distribution prices shown with or without VAT?;The electricity distribution prices in the tariff examples are shown without VAT. A value added tax of 21 percent is added on top of these prices.
